h3,can_train,can_pub
851f995bfffffff,0.0,0.0
851f9943fffffff,0.0,0.0
851f9947fffffff,0.0,0.0
851f990bfffffff,0.0,0.0
851f9903fffffff,0.0,0.0
851f9917fffffff,0.0,0.0
851f99bbfffffff,0.0,0.0
851f99b3fffffff,0.0,0.0
851f8a4ffffffff,0.0,0.0
851f8a47fffffff,1.0,1.0
851f8a0bfffffff,0.0,0.0
851f8a03fffffff,0.0,0.0
851f8a17fffffff,0.0,1.0
851f8abbfffffff,0.0,1.0
851f8ab3fffffff,0.0,0.0
851f884ffffffff,0.0,0.0
851f8847fffffff,0.0,0.0
851f880bfffffff,0.0,0.0
851f881bfffffff,0.0,0.0
851f88c7fffffff,0.0,0.0
851f88d7fffffff,0.0,0.0
851f8c6ffffffff,0.0,0.0
851f8c63fffffff,0.0,0.0
851f8c73fffffff,0.0,0.0
851f8c0bfffffff,0.0,0.0
851f8c1bfffffff,1.0,0.0
851f8cc7fffffff,0.0,0.0
851f8cd7fffffff,0.0,0.0
851faa6ffffffff,0.0,0.0
851faa63fffffff,0.0,0.0
851faa73fffffff,0.0,0.0
851faa0bfffffff,0.0,0.0
851faa1bfffffff,0.0,0.0
851faacffffffff,0.0,0.0
851faacbfffffff,1.0,0.0
851f8537fffffff,0.0,0.0
851f8533fffffff,1.0,0.0
851f8507fffffff,0.0,0.0
851f8503fffffff,1.0,0.0
851f851bfffffff,0.0,0.0
851f85cffffffff,1.0,0.0
851f85cbfffffff,1.0,0.0
851f8437fffffff,0.0,0.0
851f8433fffffff,0.0,0.0
851f8407fffffff,0.0,0.0
851f8403fffffff,0.0,0.0
851f841bfffffff,0.0,0.0
851f84cffffffff,0.0,0.0
